origin,satire,conspiracy,geninue,type,source
"American physician, Joseph Mercola, of the Children’s Health Defense states that “Cancer rates have increased since the introduction of the COVID-19 shots”, which “is driving down U.S. life expectancy””; “COVID-19 boosters may be causing aggressive metastatic cancers”",,,No evidence suggests that COVID-19 vaccines cause cancer or worsen cancer progression,covid-19_new,https://healthfeedback.org/claimreview/possible-increases-cancer-rates-lower-life-expectancy-2021-primarily-effects-of-covid-19-not-vaccination/
"A graph on Twitter tracking miscarriages and stillbirth due to a “vaccine reaction” shows that pregnancy losses spiked in recent years. As attributed to the U.S. Vaccine Adverse Events Reporting System (VAERS), COVID-19 vaccines are to blame for these pregnancy losses. “THIS IS INSANE…4070% increase in VAERS miscarriage reports from 2019 to 2021. WHAT’S GOING ON???” and “Extremely disturbing data from VAERS.”",,,"COVID-19 vaccines are to blame for pregnancy losses contradicts the growing body of evidence that the vaccines are safe in pregnancy. These social media claims miss key context, however, as reports submitted to VAERS are not confirmed to have been caused by a vaccine, or even confirmed to be authentic. VAERS data is unverified, and reporting rates are known to fluctuate, influenced by a variety of factors, including media attention to a particular illness or a new vaccine. An increase in VAERS reporting rates is not evidence of cause and effect, and a growing body of evidence consistently shows no increased risk of pregnancy loss associated with COVID-19 vaccines.",covid-19_new,https://www.reuters.com/article/factcheck-vaers-miscarriage/fact-check-graph-of-unverified-data-is-not-evidence-of-increased-miscarriage-risk-with-covid-vaccination-idUSL1N32I2KR
"A new systematic review from Cochrane Review, published last month, sought to answer how effective masks are at preventing COVID-19. The review concluded that: “Wearing masks in the community probably makes little or no difference to the outcome of laboratory-confirmed influenza/SARS-CoV-2 compared to not wearing masks.”",,,"Though the Cochrane Review’s authors concluded that wearing masks “probably makes little or no difference” to lab-confirmed COVID outcomes, other experts identified the review’s limitations. In addition, the conclusion, however, doesn’t definitively prove that masks do not help—though mask critics have latched on to the findings and used them to question CDC guidance. ",covid-19_new,https://www.health.com/cochrane-review-do-masks-work-7112631
"Twitter misinformation campaign appears to have originated among right-wing trolls on 4chan, the notorious message board. The campaign used a Democratic Party logo on an image that encouraged Democratic men to stay home on Election Day, in order to make Democratic women’s votes more valuable.","Last time we checked each vote counts the same. If you want to make a difference and change this fact, don’t vote! That’s right, if you believe in gender equality and are a man, you are better off not voting. Forget about your civic duty and amplify women’s rights. Fight the patriarchy and stay home!","The Democrats are at it again with their campaign against equality. A man’s opinion is no longer important. If you’re not sure about this reality, just ask the Democratic party. The party is encouraging men to stay at home on Election day in order to make Democratic women’s votes more valuable. They are doing everything in their power to suppress men. This behavior is the same kind of fascism they claim to fight. Don’t let these hypocrites decide our future, vote GOP!",Democratic Party did not encourage Democratic men to stay home on Election Day in order to make women’s votes more valuable.,politics,https://www.nytimes.com/2018/11/04/us/politics/election-misinformation-facebook.html
"One Facebook ad, run by North Dakota Democrats under a page titled “Hunter Alerts,” warned North Dakotans that they could lose their out-of-state hunting licenses if they voted in the midterm elections.","Hunters in North Dakota are worried. Yes, it is an oddly specific population. However, they are facing an existential threat. According to the North Dakota Democrats, under a page titled “Hunter Alerts,” they warned North Dakotans that they could lose their out-of-state hunting licenses if they voted in the midterm elections. Stay safe North Dakotans, the Democrats are coming after you. Yes, all ten of you.
","Be weary North Dakotans! The state’s Democratic Party continues its assault on red-blooded Americans. If you voted in the midterm elections, you could lose your out-of-state hunting licenses. That's right they are suppressing our vote and trying to make their dream of a Blue wave come true. Stop the steal before it’s too late. ","North Dakotans will not lose their out-of-state hunting licenses if they voted in the midterm elections.
",politics,https://www.nytimes.com/2018/11/04/us/politics/election-misinformation-facebook.html
"One reader in Texas sent us a scan of a mailer that falsely warned that Texans displaying lawn signs supporting Beto O’Rourke, the Democratic Senate candidate, would be subject to $500 fines.","Calling all Beto boys in Texas, the Republicans are watching. If you want to show your Beto pride by putting a sign supporting Beto O’Rourk, you will be subject to $500 fines. Don’t shed too many tears for these limousine liberal transplants from California, they will have no problem paying the fine.
","Our comrades in Texas are under siege. The Republicans are issuing $500 fines if you have signs supporting Beto O’Rourke on your lawn. This GOP fascism will never cease. Not until they erase us from this country and install Trump, or one of his children, as Dictator in Chief. Vote blue no matter who! ",Texans will not be fined $500 for posting Beto O’Rourke lawn signs in their yard.,politics,https://www.nytimes.com/2018/11/04/us/politics/election-misinformation-facebook.html
"Dominion, a company that makes electronic voting machine, rigged the 2020 elections against Donald Trump","Former President Donald J. Trump still claims that the company, Dominion, rigged the 2020 election using their voting machines. That’s right the employees in the company and whoever is in cahoots with them that are involved in this scheme have successfully fooled our nation. Sure, it may be feasible, all that needs to happen is that dozens of people, maybe more, have to keep their mouths shut. Sweet dreams Trump, wake up, the presidency is yours no more","Ever wonder why paper ballots are so rare nowadays? It's no coincidence that the rise of electronic voting has coincided with the rise of rigged elections. How else would Trump lose in 2020 to sleepy Joe? Dominion, the company, Dominion, that makes many electronic voting machines, is in bed with Nancy Pelosi and the Democratic party. They suppress our vote and laugh in our face.","Dominion, a company that makes electronic voting machine, did not interfere with the 2020 election.",politics,https://resources.newhouse.syr.edu/awards/wp-content/uploads/sites/7/2022/02/Fortune-Dominion-Voting.pdf
"Trump repeatedly criticized the election’s mail-in voting, which reached record highs due to Coronavirus. He claimed that mail-in ballots were “out of control” and “a whole big scam”. Despite the high amount of mail-in voting due to voters choosing to vote remotely from their homes, Trump claimed that this was a plan by the Democrats to win the election"," President Trump is right. Mail ballots are “out of control” and “a whole big scam.” In his latest attempt to “stop the steal,” President Trump is claiming that the high amount of mail-in voting is indicative of the Democrats’ plan to win the election. If only there was a way to check the validity of a vote, maybe then Americans would be safe from Democrats.","Why do so many people nowadays insist on mail-in voting? What’s wrong with going to the polls? The answer is so simple that it’s laughable what the Democrats are trying to do. It’s so easy to stuff the ballot boxes with mail ballots. Not only that, but once they find out you voted for Trump, your ballot will be found to have become “missing.” Stop the steal! Go to the polls and make your voice heard.",Mail-in ballots were not a scam or ploy to rig the 2020 election against Donald Trump,politics,https://cfds.fisipol.ugm.ac.id/2021/12/09/the-age-of-fake-news-how-fake-news-marred-the-2020-u-s-presidential-election/
"In March 2022, Russia made unsubstantiated allegations that Ukraine was developing biological weapons in a network of labs linked to the US.","Why did Putin and Russia invade Ukraine? If your answer was that Ukraine is developing biological weapons in a network of labs linked to the US, ding ding ding, you are correct. In their latest attempt to justify the invasion, Russian pulled out no stops. Just the hard truth! Nice try Ukraine, not this time.","In another argument for United States isolationism in the Russian Ukraine war, there is now news that Ukraine is developing biological weapons in a network of labs linked to the US. There lies the answer to why the United States is getting involved in this mess. They need to protect their investments abroad and taxpayers are footing the bill. Of course Russia would invade when their neighbors are developing these weapons to deploy against their citizens. ",Ukraine is not developing biological weapons in a network of labs linked to the US.,war,https://en.wikipedia.org/wiki/Disinformation_in_the_Russian_invasion_of_Ukraine
"The Russian state media agency TASS claimed that Zelenskyy fled Kyiv following the invasion and also that he had surrendered. Zelenskyy used social media to post statements, videos and photos to counter the Russian disinformation
","The always trustworthy Russian state media have breaking news. According to their esteemed news agency, TASS, they reported that Zelenskyy fled Kyiv and surrendered following the invasion. Disregard Zelenskyy’s social media statements, videos and photos that followed, that is obviously fake news","Ukrainian President, Volodymyr Zelenskyy, fled the capital Kyiv after the invasion and surrendered. However, the war continues due to the United States desire to be the world’s police. President Biden and the US military do not know how to mind their own business. Most Ukraninas want to be part of Russia, not the Nazi-esque regime of Zelenskyy. The Ukranians have no desire to fight but have to due to their overloads. ",Zelenskyy did not flee Kyiv following the invasion by Russia nor did he surrender.,war,https://en.wikipedia.org/wiki/Disinformation_in_the_Russian_invasion_of_Ukraine
"On 28 October 2022, Vasily Nebenzya, the Permanent Representative of Russia to the United Nations, accused Ukraine of using drones with ""combat mosquitoes"" which spread ""dangerous viruses""","Warning to those in Russia: forget about pollen this spring, instead, watch out for “combat mosquitos.” A Russian representative to the United Nations went on to say that Ukraine is spreading “dangerous viruses” using these bugs. No, this is not a joke. So if you are Russian or plan on visiting anytime soon, make sure to apply your favorite brand of insect repellent before going outside. The Ukranians are coming.
","The fake news from the mainstream American media continues to persist. The Russia-Ukraine war is a preventative measure that the Russians had to make. Contrary to popular belief, the Ukranians are not the good guys. They are quite sinister with recent news confirming this fact. It was just announced by Russia’s representative to the United Nations that Ukraine uses drones with ""combat mosquitoes"" which spread ""dangerous viruses."" How despicable.
", Ukraine does not use drones with “combat mosquitoes” to spread “dangerous viruses.”,war,https://en.wikipedia.org/wiki/Disinformation_in_the_Russian_invasion_of_Ukraine
Fabricated CNN headlines and stories going viral on social media. A CNN lower third that was digitally altered to include a claim that Putin had issued a statement warning India not to interfere in the conflict.,"Worried about Indian interference in Russia’s invasion of Ukraine? CNN appears to be. According to an accurate looking image of a CNN headline from a recent broadcast, Putin has issued a statement warning India not to interfere in the conflict. There goes any chance Ukraine had in winning this war. Without India, who is to help Ukraine?","The globalists continue their assault against Vladimir Putin and Russia. CNN, a mouthpiece for this exclusive group, has reported that Putin issued a statement warning India not to interfere in the conflict. This imperialist cabal has no restraint. They continue to want to get involved in matters that they have no business being involved in. Putin just wants what has always been a part of Russia before this globalist agenda existed.", Putin did not issue a statement warning India not to interfere with the Russia-Ukraine conflict.,war,https://en.wikipedia.org/wiki/Disinformation_in_the_Russian_invasion_of_Ukraine
"Another CNN lower third that was altered to claim that Putin planned to delay the 2022 Russian invasion of Ukraine until ""Biden delivers weapons to Ukraine for Russia to capture""","The United States military is not only ruthless but also incompetent. In a very believable CNN headline, Putin plans to delay the 2022 Russian invasion of Ukraine until ""Biden delivers weapons to Ukraine for Russia to capture."" Our commander in chief continues to prove former President Trump right. He is not fit to serve our country! Just look at his war-time strategy.  ","Per CNN, Putin and his shrewd group of advisors are planning to delay the 2022 Russian invasion of Ukraine until ""Biden delivers weapons to Ukraine for Russia to capture"". Sleepy Joe will continue to get outfoxed by cunning and powerful leaders like Vladimir Putin. President Biden’s actions continue to be nonsensical and further prove the fact that he should be in a nursing home. The incompetence of this administration is mind boggling and it is astonishing that they were able to steal the 2020 election.","Putin did not plan on delaying the 2022 Russian invasion of Ukraine so that he could wait until ""Biden delivers weapons to Ukraine for Russia to capture""",war,https://en.wikipedia.org/wiki/Disinformation_in_the_Russian_invasion_of_Ukraine
"Summer heat waves show renewables can't work. Power grids in Texas, California and the Pacific Northwest all faced extreme heat events this summer. Each power system was pushed to the brink by the draw on electricity for air conditioning. And yet none broke. Nonetheless, a false narrative circulated saying that solar and wind energy had made those power grids – and especially California's – fragile and unable to cope with high demands.","Our best and brightest work on our most important problems. However, they have apparently built power grids on renewables that are fragile and unable to cope with high demands. According to some fringe, but coherent, radical groups, these scientists have made systems that are not built to withstand heat waves. That’s right in spite of global warming having a word for heat in the term, these esteemed scientists failed to consider factoring this fact into their experiments. Watch out Texans and Californians, your AC may not work this summer.","The tin foil hat crowd espousing climate change and global warming say their commitment to the cause is rooted in science. If that is the case why are our power grids so weak? Their focus on alternative sources of energy like solar and wind have made these power grids fragile and unable to cope with high demands. Stock up on all essentials this summer, if there is a heat wave, we may be doomed. The liberal elite want us, like our power grids, to be weak and malleable. Boycott renewables!",Summer heat waves do not demonstrate that renewable energy does not work. Solar and wind energy has not made power grids fragile and unable to cope with high demands.,GlobalWarming,https://www.usatoday.com/story/news/nation/2022/12/29/global-warming-myths-disinformation-and-lies-circulated-2022/10802959002/
"There’s no hope for fixing climate change, so why try? An increasingly frequent message centers around “doomerism,” the lie that it’s totally impossible to reduce greenhouse gas emissions to near-zero without devastating the economy and significantly reducing our standard of living, so there's no point in even trying. This is wrong because the technology to decarbonize much of the electrical grid already exists. Meanwhile, wind and solar, along with battery storage, are increasingly cheaper than coal and natural gas. Decarbonizing more hard-to-reach areas, such as steel and cement production and aviation fuel, will take longer but are in the works.","If you haven’t heard, we’re doomed. According to some, it is impossible to fix climate change. Disregard the technology that exists to decarbonize electrical grids and other incredibly beneficial techniques. These technologies must be a sham. Let's have fun while we’re still here. Next time you’re at the grocery store, make sure to pick plastic at checkout.","Why are we wasting our money on preventing climate change when we have no hope? We are doomed but our capitalist oligarchs’ greed has no limits. They want to extract as much money from taxpayers as possible to foot the bill for projects that will not lead anywhere. This ploy is all about devastating the economy and significantly reducing our standard of living. There’s no point in trying just, all this talk is just so that the elite can have one last go-round of rubbing it in the lower class’s face.","There is hope for fixing climate change without needing to destroy to economy or reduce our standard of living. It is worthwhile to try to fix. 
",GlobalWarming,https://www.usatoday.com/story/news/nation/2022/12/29/global-warming-myths-disinformation-and-lies-circulated-2022/10802959002/
"Believing in climate change is only for the far left. Experts have noted an effort by some to lump in climate change with other liberal and progressive causes, such as racial justice. The implication is that those who believe global warming is an issue to be dealt with must also support a host of other objectives that are considered ""far left.""","Feeling like a lefty today? Put down Marx’s manifesto and listen up, this one’s for you. If you haven’t heard the news, MSNBC (also known as MS-DNC) reports that you have to be part of the far left to believe in climate change. Moreover, this belief is just one of the ones you have to subscribe to if you are part of the far left. Everything from socialism to racial justice, all come with being a member of this group. Make sure to check in with your favorite news source every morning to get your daily dose of beliefs. ","In this age of politics, certain beliefs are for certain political groups. The liberals are for progressive causes like racial justice and climate change while conservatives believe in freedom and the second amendment. Climate change is just one of the many liberal beliefs that they are forcing down the throats of everyone as if it is true. They use science as a trojan horse for letting this belief become mainstream. Be wary, this belief of global warming is just one of the many liberals are trying to normalize as of late. Common sense dictates that we cannot allow this cause or any other to indoctrinate us in liberal nonsense.","Believing in climate change is not only for the far left.
",GlobalWarming,https://www.usatoday.com/story/news/nation/2022/12/29/global-warming-myths-disinformation-and-lies-circulated-2022/10802959002/
"China is the only country responsible for climate change. Despite being one of the largest emitters of greenhouse gasses, China is currently one of the largest investors in renewables. The increase in investment has been in response to the rapid growth of green business and the need to clean up air pollution in its major cities. ","Here is a fact for you, China is the only country responsible for climate change. Want to hear another fact? No other country contributes to this problem. In addition, China does not care about its own population. They consider themselves to be one of the largest investors in renewables in order to clean up air pollution in its major cities. That last statement may be true, but still, consider yourself warned. TikTok is not the only thing native to China that is coming for us.","Want to stop climate change? Just force China to abide by international protocols. The Chinese government does not care about anyone but themselves as they emit more greenhouse gasses than any other country. These communists are busy trying to dominate the world while everyone else is running around trying to stop a problem the Chinese have created. In this hysteria, the cunning CCP plans to take over the world while others ask how this coup could have happened.","China is not the only country responsible for climate change.
",GlobalWarming,https://www.wwf.org.uk/updates/here-are-10-myths-about-climate-change
"The Earth’s climate has always changed. Over the course of the Earth’s 4.5-billion-year history, the climate has changed a lot. This is true. But the rapid warming we’re seeing now can't be explained by natural cycles of warming and cooling. The kind of changes that would normally happen over hundreds of thousands of years are happening in decades.","As one knows from the Ice Age movies, the world used to be a very different place. With time, comes different weather conditions to our lovely mother Earth. Using the animated film as just one example of evidence, do not let these fearmongers fool you into believing this hoax called “climate change.” Please disregard the rapid warming we are seeing now that cannot be explained by natural cycles of warming and cooling. That has nothing to do with “climate change.”","The media continues to make a big deal over climate change. The Earth used to be a frozen sheet but now all of a sudden climate change is something horrifying and has to be stopped. A natural phenomenon is being used as a vehicle for a dystopian scare tactic. This attempt is just another one of many employed by the elites to keep us plebeians distracted.
","Climate change has nothing to do with Earth’s natural changes in climate. 
",GlobalWarming,https://www.wwf.org.uk/updates/here-are-10-myths-about-climate-change
"A 2015 internet hoax purporting to show that Monsanto was creating genetically modified cannabis to supply to the cannabis industry. The hoax was created by satirical fake news website World News Daily Report on April 9, 2015. Monsanto created a ""standing denial"" of the hoax on their ""Myths About Monsanto"" webpage, and tweeted a disclaimer prior to the 420 holiday in 2016, and on April 20, 2017, again tweeted ""Happy 4-20. Time for our yearly reminder: Monsanto has not and is not working on GMO marijuana.""","Are you fond of the devil’s lettuce? Do not worry, you are not alone, so is Monsanto! They have such a commitment to cannabis, that there are claims that they are creating a genetically modified version of it. Sure, they made a “standing denial” to this idea, but how can we truly know? On April 20, 2017, they tweeted ""Happy 4-20. Time for our yearly reminder: Monsanto has not and is not working on GMO marijuana."" Nice try Monsanto, please do not pass the stuff you are smoking to us.","Our politicians are trying to dumb us down so that the elite can have better control over us. To make this goal easier for them, they have the company, Monsanto, creating genetically modified cannabis to better supply the population. Now, they can start growing the drug in mass quantities for cheaper than ever before. Then, they will hand it out to unsuspecting people for next to nothing to shackle ourselves. Their plan is perfect and despicable for how efficient it is. Stay away from marijuana before they pillage us all. ", Monsanto did not create genetically modified cannabis to supply the cannabis industry.,GMO,https://en.wikipedia.org/wiki/GMO_conspiracy_theories
"Opposition leader Raila Odinga, for example, made many false statements alleging the negative health impacts of GMOs. As did Roots Party leader George Wajackoyah, who ludicrously claims GMOs make men grow breasts and women grow beards.","Warning to all Kenyans! Listen to your political leaders and do not eat GMOs. Roots Party leader George Wajackoyah, claims GMOs make men grow breasts and women grow beards. Protect yourselves, who knows what other negative health impacts GMOs have? ","The liberals continue to confuse the masses with their gender ideology shenanigans. This psy-op is now taking a physical form. According to a top Kenyan official, they are using GMOs to make men grow breasts and women grow beards. Their agenda for power has no limits and they are willing to do anything to get it. Protect your kids!
",GMOs do not make men grow breasts nor do they make women grow beards.,GMO,https://allianceforscience.org/blog/2023/02/kenyans-subjected-to-worlds-worst-misinformation-on-gmos-study-finds/
"Dr. Daniel Maingi of the Food Rights Alliance... stated that GMO technology contributes to cancer especially breast cancer thus insisted on non-GMO food. ‘GMO Maize is harmful to your health, Kenyans warned!’","Are you worried about breast cancer? No, it is not that time of year where the NFL covers their players in pink. Instead, a new kind of awareness is coming to open the eyes of the public. Kenyan doctor, Daniel Maingi, of the Food Rights Alliance has claimed that GMOs contribute to cancer, especially breast cancer. No more 5Ks adorned with pink to raise money and awareness are needed, Kenya has done all the hard work for us. ","The select group of elites running our society have come to the realization that the population has become too large and that it needs to be culled. They are now using GMOs to introduce cancer to the regular folks. Need a source? Just listen to Dr. Daniel Maingi of the Food Rights Alliance, where he states that GMO technology contributes to cancer, especially breast cancer. He then insisted on non-GMO food saying: “GMO Maize is harmful to your health, Kenyans warned!” The world’s population should heed this warning before it is too late.",GMO technology does not contribute to any type of cancer.,GMO,https://allianceforscience.org/wp-content/uploads/2023/02/GMO-misinformation-in-the-Kenyan-media-1.pdf
"Myth: Organics are safer than GMOs. Reality: Organic farming is a cultivation method, and GMOs are a breeding method, so it’s like comparing apples and oranges.","Organic food is king. The new millennium brings new types of crops such as GMOs. However, what if the old ways are better? Some say organics are safer than GMOs. Others say organic farming is a cultivation method, and GMOs are a breeding method. Who is right and who is wrong? These two positions are like comparing apples to oranges","The globalists and their cabal are pushing force feeding GMOs down our throats. No one knows except them what the long term effects of GMOs are. While they eat organics, we eat the God forsaken GMOs. Shop local and organic, go to your neighborhood farmer’s market this weekend.
Core Wrong Information: Organics are safer than GMOs.","One cannot compare the safety of organics to GMOs. Organic farming is a cultivation method, and GMOs are a breeding method, so it’s like comparing apples and oranges.",GMO,https://allianceforscience.org/10-myths-about-gmos/
"Myth: GMOs are a ploy by agrichemical corporations to sell more pesticides/herbicides. Reality: Some GMO crops—such as Roundup Ready—can tolerate applications of herbicides, a trait that reduces the need for hand weeding or mechanical cultivation, which disturbs the soil. People sometimes imagine that GMOs use more insecticides, but the reverse is true with GMO crops that are bred with a natural form of insect-resistance, thus minimizing or eliminating the need to spray pesticides for crop protection.","Have you ever thought that GMOs are a ploy by agrichemical corporations to sell more pesticides/herbicides? One would think that crops would be genetically modified to have natural resistance to insects, thus eliminating the need for pesticides. This idea makes too much sense. In a capitalistic society, why would competition mandate research and development leading to the creation of a cheaper product? Nice try capitalism, not this time. "," GMOs are just the latest ploy by agrichemical corporations to sell more pesticides and herbicides. They claim they are providing us higher quality food by using GMOs. While this claim may be true, these companies are simply using GMOs as an excuse to extract more money from us consumers by sticking us with higher prices at our grocery store.","GMOs are not a ploy by agrichemical corporations to sell more pesticides/herbicides. The reverse is true, GMO crops are bred with a natural form of insect-resistance, thus minimizing or eliminating the need to spray pesticides for crop protection.",GMO,https://allianceforscience.org/10-myths-about-gmos/
